neutral,maskulinum,femininum,inkl_Doppelpunkt ,inkl_Unterstrich,inkl_Sternchen,inkl_Schrägstrich,inkl_Grossbuchstaben
Sie übernimmt übergangsweise die Leitung bis eine Nachfolge gefunden wurde.," Sie übernimmt übergangsweise die Leitung, bis ein Nachfolger gefunden wurde."," Sie übernimmt übergangsweise die Leitung, bis ein Nachfolgerin gefunden wurde."," Sie übernimmt übergangsweise die Leitung, bis ein Nachfolger:in gefunden wurde."," Sie übernimmt übergangsweise die Leitung, bis ein Nachfolger_in gefunden wurde."," Sie übernimmt übergangsweise die Leitung, bis ein Nachfolger*in gefunden wurde."," Sie übernimmt übergangsweise die Leitung, bis ein Nachfolger/in gefunden wurde."," Sie übernimmt übergangsweise die Leitung, bis ein NachfolgerIn gefunden wurde."
"Tauscht euch zu zweit über den Text aus.,  Tauscht euch an eurem Tisch über den Text aus.", Tauscht euch mit eurem Partner über den Text aus., Tauscht euch mit eurem Partnerin über den Text aus., Tauscht euch mit eurem Partner:in über den Text aus., Tauscht euch mit eurem Partner_in über den Text aus., Tauscht euch mit eurem Partner*in über den Text aus., Tauscht euch mit eurem Partner/in über den Text aus., Tauscht euch mit eurem PartnerIn über den Text aus.
Um an unserer Klinik im ärztlichen Dienst arbeiten zu können müssen Sie die Approbation im Original vorlegen.," Um an unserer Klinik als Arzt arbeiten zu können, müssen Sie die Approbation im Original vorlegen."," Um an unserer Klinik als ärztin arbeiten zu können, müssen Sie die Approbation im Original vorlegen."," Um an unserer Klinik als ärztin arbeiten zu können, müssen Sie die Approbation im Orig:inal vorlegen."," Um an unserer Klinik als ärztin arbeiten zu können, müssen Sie die Approbation im Orig_inal vorlegen."," Um an unserer Klinik als ärztin arbeiten zu können, müssen Sie die Approbation im Orig*inal vorlegen."," Um an unserer Klinik als ärztin arbeiten zu können, müssen Sie die Approbation im Orig/inal vorlegen."," Um an unserer Klinik als ärztin arbeiten zu können, müssen Sie die Approbation im OrigInal vorlegen."
 Die Nachfrage kommt von Unternehmen und Privatpersonen.," Unsere Kunden sind Unternehmen und
Privatpersonen."," Unsere Kundinnen sind Unternehmen und
Privatpersonen."," Unsere Kundinnen s:ind Unternehmen und
Privatpersonen."," Unsere Kundinnen s_ind Unternehmen und
Privatpersonen."," Unsere Kundinnen s*ind Unternehmen und
Privatpersonen."," Unsere Kundinnen s/ind Unternehmen und
Privatpersonen."," Unsere Kundinnen sInd Unternehmen und
Privatpersonen."
 kollegiale Unterstützung, Unterstützung eines Kollegen, Unterstützung einer Kollegin, Unterstützung einer Kolleg:in, Unterstützung einer Kolleg_in, Unterstützung einer Kolleg*in, Unterstützung einer Kolleg/in, Unterstützung einer KollegIn
 Eltern-Kind-Gruppe, Vater-Kind-Gruppe, Mutter-Kind-Gruppe, Mutter-Kind-Gruppe, Mutter-Kind-Gruppe, Mutter-Kind-Gruppe, Mutter-Kind-Gruppe, Mutter-Kind-Gruppe
Familienparkplatz, Vater-Kind-Parkplatz, Mutter-Kind-Parkplatz, Mutter-Kind-Parkplatz, Mutter-Kind-Parkplatz, Mutter-Kind-Parkplatz, Mutter-Kind-Parkplatz, Mutter-Kind-Parkplatz
Mitglieder der Presse, Vertreter der Presse, Vertreterin der Presse, Vertreter:in der Presse, Vertreter_in der Presse, Vertreter*in der Presse, Vertreter/in der Presse, VertreterIn der Presse
 Was ist dein Favorit - Tiramisu oder Zitronensorbet?, Was ist dein Favorit - Tiramisu oder Zitronensorbet?, Was ist dein Favorit - Tiramisu oder Zitronensorbet?, Was ist dein Favorit - Tiramisu oder Zitronensorbet?, Was ist dein Favorit - Tiramisu oder Zitronensorbet?, Was ist dein Favorit - Tiramisu oder Zitronensorbet?, Was ist dein Favorit - Tiramisu oder Zitronensorbet?, Was ist dein Favorit - Tiramisu oder Zitronensorbet?
 wenn es dir selbst schon mal so gegangen ist., wenn es einem selbst schon mal so gegangen ist., wenn es einer selbst schon mal so gegangen ist., wenn es einer selbst schon mal so gegangen ist., wenn es einer selbst schon mal so gegangen ist., wenn es einer selbst schon mal so gegangen ist., wenn es einer selbst schon mal so gegangen ist., wenn es einer selbst schon mal so gegangen ist.
Wenn es zu laut ist können viele nichts verstehen.," Wenn es zu laut ist, kann man nichts verstehen."," Wenn es zu laut ist, kann man nichts verstehen."," Wenn es zu laut ist, kann man nichts verstehen."," Wenn es zu laut ist, kann man nichts verstehen."," Wenn es zu laut ist, kann man nichts verstehen."," Wenn es zu laut ist, kann man nichts verstehen."," Wenn es zu laut ist, kann man nichts verstehen."
"Wenn Sie durch das Fenster blicken, können Sie das Meer sehen."," Wenn man durchs Fenster sieht, kann man das Meer sehen."," Wenn man durchs Fenster sieht, kann man das Meer sehen."," Wenn man durchs Fenster sieht, kann man das Meer sehen."," Wenn man durchs Fenster sieht, kann man das Meer sehen."," Wenn man durchs Fenster sieht, kann man das Meer sehen."," Wenn man durchs Fenster sieht, kann man das Meer sehen."," Wenn man durchs Fenster sieht, kann man das Meer sehen."
 Wer ist deine favorisierte Person die bei den Olympischen Spielen antritt?, Wer ist dein Favorit bei den Olympischen Spielen?, Wer ist deine Favoritin bei den Olympischen Spielen?, Wer ist deine Favorit:in bei den Olympischen Spielen?, Wer ist deine Favorit_in bei den Olympischen Spielen?, Wer ist deine Favorit*in bei den Olympischen Spielen?, Wer ist deine Favorit/in bei den Olympischen Spielen?, Wer ist deine FavoritIn bei den Olympischen Spielen?
"Wer sind die anderen Vorstandsmitglieder?, Wer ist noch im Vorstand?", Wer sind die anderen Vorstände?, Wer sind die anderen Vorstände?in, Wer sind die anderen Vorstände?:in, Wer sind die anderen Vorstände?_in, Wer sind die anderen Vorstände?*in, Wer sind die anderen Vorstände?/in, Wer sind die anderen Vorstände?In
Wie alt ist dein Geschwisterkind?, Wie alt ist dein Bruder?, Wie alt ist dein Schwester?, Wie alt ist de:in Schwester?, Wie alt ist de_in Schwester?, Wie alt ist de*in Schwester?, Wie alt ist de/in Schwester?, Wie alt ist deIn Schwester?
 Wie viele Mitglieder hat das Fitnessstudio?, Wie viele Nutzer hat das Fitnessstudio?, Wie viele Nutzerinnen hat das Fitnessstudio?, Wie viele Nutzer:innen hat das Fitnessstudio?, Wie viele Nutzer_innen hat das Fitnessstudio?, Wie viele Nutzer*innen hat das Fitnessstudio?, Wie viele Nutzer/innen hat das Fitnessstudio?, Wie viele NutzerInnen hat das Fitnessstudio?
"Wie viele Anmeldungen gibt es für den Kurs?, Wie viele haben sich für den Kurs angemeldet?", Wie viele Teilnehmer wird der Kurs haben?, Wie viele Teilnehmerin wird der Kurs haben?, Wie viele Teilnehmer:in wird der Kurs haben?, Wie viele Teilnehmer_in wird der Kurs haben?, Wie viele Teilnehmer*in wird der Kurs haben?, Wie viele Teilnehmer/in wird der Kurs haben?, Wie viele TeilnehmerIn wird der Kurs haben?
Wie viele Mitglieder hat diese Website?, Wie viele User hat diese Website? / Wie oft wird diese Website genutzt?, Wie viele Userinnen hat diese Website? / Wie oft wird diese Website genutzt?, Wie viele User:innen hat diese Website? / Wie oft wird diese Website genutzt?, Wie viele User_innen hat diese Website? / Wie oft wird diese Website genutzt?, Wie viele User*innen hat diese Website? / Wie oft wird diese Website genutzt?, Wie viele User/innen hat diese Website? / Wie oft wird diese Website genutzt?, Wie viele UserInnen hat diese Website? / Wie oft wird diese Website genutzt?
"Zwei-Personen-Zelt, Zweier-Zelt", Zwei-Mann-Zelt, Zwei-Frauen-Zelt, Zwei-Frauen-Zelt, Zwei-Frauen-Zelt, Zwei-Frauen-Zelt, Zwei-Frauen-Zelt, Zwei-Frauen-Zelt
nomadisierende Gesellschaft die sich von der Jagd und dem Sammeln von Pflanzen ernährt,Jäger- und Sammler-Gesellschaft,Jägerin- und Sammlerin-Gesellschaft,Jägerin- und Sammler:in-Gesellschaft,Jägerin- und Sammler_in-Gesellschaft,Jägerin- und Sammler*in-Gesellschaft,Jägerin- und Sammler/in-Gesellschaft,Jägerin- und SammlerIn-Gesellschaft
"Lebenspartnerperson, Ehepartnerix, Bringen Sie gerne eine Begleitperson mit.,  Lassen Sie sich gerne von einer Ihnen nahestehenden Person begleiten.",Lebenspartner Ehepartner / Lebensabschnittsgefährte / Freund ist auch mit eingeladen.,"Lebenspartnerin,  Ehepartnerin, Lebensabschnittsgefährte  Freundin ist auch mit eingeladen.","Lebenspartnerin,  Ehepartnerin, Lebensabschnittsgefährte  Freundin ist auch mit e:ingeladen.","Lebenspartnerin,  Ehepartnerin, Lebensabschnittsgefährte  Freundin ist auch mit e_ingeladen.","Lebenspartnerin,  Ehepartnerin, Lebensabschnittsgefährte  Freundin ist auch mit e*ingeladen.","Lebenspartnerin,  Ehepartnerin, Lebensabschnittsgefährte  Freundin ist auch mit e/ingeladen.","Lebenspartnerin,  Ehepartnerin, Lebensabschnittsgefährte  Freundin ist auch mit eIngeladen."
Person,Person,Person,Person,Person,Person,Person,Person
sehr geehrte Persönlichkeiten,Sehr geehrte Damen und Herren!,Sehr geehrte Damen und Herren!in,Sehr geehrte Damen und Herren!:in,Sehr geehrte Damen und Herren!_in,Sehr geehrte Damen und Herren!*in,Sehr geehrte Damen und Herren!/in,Sehr geehrte Damen und Herren!In
Guten Tag,Sehr geehrter Herr,Sehr geehrte Frau,Sehr geehrte Frau,Sehr geehrte Frau,Sehr geehrte Frau,Sehr geehrte Frau,Sehr geehrte Frau
Referatsarbeit der Stiftung,wissenschaftlicher Referent der Stiftung XY,wissenschaftliche Referentin der Stiftung XY,wissenschaftliche Referent:in der Stiftung XY,wissenschaftliche Referent_in der Stiftung XY,wissenschaftliche Referent*in der Stiftung XY,wissenschaftliche Referent/in der Stiftung XY,wissenschaftliche ReferentIn der Stiftung XY
Geburtsname,Jungenname,Mädchenname,Mädchenname,Mädchenname,Mädchenname,Mädchenname,Mädchenname
 Basketballbegeisterte, Basketballfans, Basketballfans, Basketballfans, Basketballfans, Basketballfans, Basketballfans, Basketballfans
"Begleitung, Beratung, coachende Person",Coach,Coachin,Coach:in,Coach_in,Coach*in,Coach/in,CoachIn
in besonderem Maße begeisterte Person,Fan,Fan,Fan,Fan,Fan,Fan,Fan
Begeisterte,Fans,Fans,Fans,Fans,Fans,Fans,Fans
"Filmgröße, Filmberühmtheit",Filmstar,Filmstar,Filmstar,Filmstar,Filmstar,Filmstar,Filmstar
"Follis, Follows",Follower,Followerin,Follower:in,Follower_in,Follower*in,Follower/in,FollowerIn
"Freischaffende, Selbstständige in Freier Mitarbeit Tätige",Freelancer,Freelancerin,Freelancer:in,Freelancer_in,Freelancer*in,Freelancer/in,FreelancerIn
"Reiseführung, Reiseleitung",Guide,Guide,Guide,Guide,Guide,Guide,Guide
"Personen die fremde Digitaldaten nutzen, Hackende, umfunktionierende Personen, Cyber-Kriminelle",Hacker,Hackerin,Hacker:in,Hacker_in,Hacker*in,Hacker/in,HackerIn
"berühmte, Persönlichkeit, Berühmtheit, Star",Star,Star,Star,Star,Star,Star,Star
"Tourleitung, Reiseleitung",Tourguide,Tourguide,Tourguide,Tourguide,Tourguide,Tourguide,Tourguide
"Nutzende Personen, die Apps/Software nutzen, Mitglieder",User,Userinnen,User:innen,User_innen,User*innen,User/innen,UserInnen
Darstellende kindlichen Alters,Kinderdarsteller,Kinderdarstellerinnen,Kinderdarsteller:innen,Kinderdarsteller_innen,Kinderdarsteller*innen,Kinderdarsteller/innen,KinderdarstellerInnen
Sprachanimierende,Sprachanimateure,Sprachanimateurinnen,Sprachanimateur:innen,Sprachanimateur_innen,Sprachanimateur*innen,Sprachanimateur/innen,SprachanimateurInnen
 Stimmungsunterhaltende,Stimmungsanimateure,Stimmungsanimateurinnen,Stimmungsanimateur:innen,Stimmungsanimateur_innen,Stimmungsanimateur*innen,Stimmungsanimateur/innen,StimmungsanimateurInnen
"Abonnement-Beziehende, Abonnierende, Followers, Follis",Abonnenten,Abonnentinnen,Abonnent:innen,Abonnent_innen,Abonnent*innen,Abonnent/innen,AbonnentInnen
"Alumni, Abschluss innehabende Person, Person mit Abschluss",Absolventen,Absolventinnen ,Absolvent:innen ,Absolvent_innen ,Absolvent*innen ,Absolvent/innen ,AbsolventInnen 
"Abteilungsleitungen, Abteilungsleitende",Abteilungsleiter,Abteilungsleiterinnen,Abteilungsleiter:innen,Abteilungsleiter_innen,Abteilungsleiter*innen,Abteilungsleiter/innen,AbteilungsleiterInnen
"Administration, Admins, Administrierende",Administratoren,Administratorinnen,Administrator:innen,Administrator_innen,Administrator*innen,Administrator/innen,AdministratorInnen
"Beteiligte, Agierende, Handelnde, Aktive",Akteure,Akteurinnen ,Akteur:innen ,Akteur_innen ,Akteur*innen ,Akteur/innen ,AkteurInnen 
"engagierte Personen, politisch aktive Menschen, zielstrebig Handelnde, Aktiviston",Aktivisten,Aktivistinnen,Aktivist:innen,Aktivist_innen,Aktivist*innen,Aktivist/innen,AktivistInnen
"Alkoholsüchtige, Menschen mit Alkoholsucht",Alkoholiker,Alkoholikerinnen ,Alkoholiker:innen ,Alkoholiker_innen ,Alkoholiker*innen ,Alkoholiker/innen ,AlkoholikerInnen 
"Ein-Eltern-Haushalt, Ein-Eltern-Familie, alleinerziehende Person",Alleinerziehender,Alleinerziehende ,Alle:inerziehende ,Alle_inerziehende ,Alle*inerziehende ,Alle/inerziehende ,AlleInerziehende 
"Anfangende, Beginnende, Ungeuebte",Amateure,Amateurinnen,Amateur:innen,Amateur_innen,Amateur*innen,Amateur/innen,AmateurInnen
"Angebot von Herstellung, Anbietende",Anbieter,Anbieterinnen ,Anbieter:innen ,Anbieter_innen ,Anbieter*innen ,Anbieter/innen ,AnbieterInnen 
Angreifende,Angreifer,Angreiferinnen,Angreifer:innen,Angreifer_innen,Angreifer*innen,Angreifer/innen,AngreiferInnen
Animierende,Animateure,Animateurinnen,Animateur:innen,Animateur_innen,Animateur*innen,Animateur/innen,AnimateurInnen
"Erwerbstätige, Belegschaft, Beschäftigte, Arbeitskräfte",Arbeiter,Arbeiterinnen,Arbeiter:innen,Arbeiter_innen,Arbeiter*innen,Arbeiter/innen,ArbeiterInnen
"Arbeitgebende, Betriebe, Unternehmen",Arbeitgeber,Arbeitgeberinnen,Arbeitgeber:innen,Arbeitgeber_innen,Arbeitgeber*innen,Arbeitgeber/innen,ArbeitgeberInnen
"Beschäftigte, Arbeitskräfte, Belegschaft Personal, Erwerbstätige",Arbeitnehmer,Arbeitnehmerinnen,Arbeitnehmer:innen,Arbeitnehmer_innen,Arbeitnehmer*innen,Arbeitnehmer/innen,ArbeitnehmerInnen
Teammitglieder,Arbeitskollegen,Arbeitskolleginnen,Arbeitskolleg:innen,Arbeitskolleg_innen,Arbeitskolleg*innen,Arbeitskolleg/innen,ArbeitskollegInnen
Architekturschaffende,Architekten,Architektinnen,Architekt:innen,Architekt_innen,Architekt*innen,Architekt/innen,ArchitektInnen
"Asylsuchende, Personen im Asylverfahren",Asylbewerber,Asylbewerberinnen,Asylbewerber:innen,Asylbewerber_innen,Asylbewerber*innen,Asylbewerber/innen,AsylbewerberInnen
"Sporttreibende, Wettkämpfende, ",Athleten,Athletinnen,Athlet:innen,Athlet_innen,Athlet*innen,Athlet/innen,AthletInnen
Beobachtende,Augenzeugen,Augenzeuginnen,Augenzeug:innen,Augenzeug_innen,Augenzeug*innen,Augenzeug/innen,AugenzeugInnen
Randständige,Außenseiter ,Außenseiterinnen,Außenseiter:innen,Außenseiter_innen,Außenseiter*innen,Außenseiter/innen,AußenseiterInnen
Auszubildende,Auszubildende ,Auszubildende ,Auszubildende ,Auszubildende ,Auszubildende ,Auszubildende ,Auszubildende 
"Autofahrende, Autofahrende Personen am Steuer",Autofahrer ,Autofahrerinnen ,Autofahrer:innen ,Autofahrer_innen ,Autofahrer*innen ,Autofahrer/innen ,AutofahrerInnen 
"Autorenschaft, Urheberrechtsinhabende, Verfassende, Schreibende, Literaturschaffende, wissenschaftlich, Publizierende, Auktorierende",Autoren,Autorinnen,Autor:innen,Autor_innen,Autor*innen,Autor/innen,AutorInnen
"Backende, im Backgewerbe Tätige, professionell Backende",Bäcker,Bäckerinnen,Bäcker:innen,Bäcker_innen,Bäcker*innen,Bäcker/innen,BäckerInnen
"Bedienstete, Beamtenschaft",Beamte,Beamte,Beamte,Beamte,Beamte,Beamte,Beamte
"Unterstützung, Zustimmende, Mitwirkende, Befürwortende",Befürworter,Befürworterinnen,Befürworter:innen,Befürworter_innen,Befürworter*innen,Befürworter/innen,BefürworterInnen
"Anwendende, Nutzende Personen, Nutzendegruppen",Benutzer,Benutzerinnen,Benutzer:innen,Benutzer_innen,Benutzer*innen,Benutzer/innen,BenutzerInnen
Beratende,Berater,Beraterinnen,Berater:innen,Berater_innen,Berater*innen,Berater/innen,BeraterInnen
Berichtende,Berichterstatter,Berichterstatterinnen,Berichterstatter:innen,Berichterstatter_innen,Berichterstatter*innen,Berichterstatter/innen,BerichterstatterInnen
Betreuungspersonal,Betreuer,Betreuerinnen,Betreuer:innen,Betreuer_innen,Betreuer*innen,Betreuer/innen,BetreuerInnen
"Bewerbende, sich bewerbende Personen",Bewerber,Bewerberinnen,Bewerber:innen,Bewerber_innen,Bewerber*innen,Bewerber/innen,BewerberInnen
"Bevölkerung, Einwohnerschaft, Kommunalwahlberechtigte,Wahlberechtigte, Staatsangehörige, Einheimische im Ort in der Stadt, Wohnende, Stimmberechtigte, allgemeine öffentlichkeit, breites Publikum, bürgerliche Bevölkerung, Bürgerschaft, Bürgertum",Bürger,Bürgerinnen,Bürger:innen,Bürger_innen,Bürger*innen,Bürger/innen,BürgerInnen
"Vorgesetzte, Leitung",Chef,Chefinnen,Chef:innen,Chef_innen,Chef*innen,Chef/innen,ChefInnen
"chirurgisches, Fachpersonal",Chirurgen,Chirurgenin,Chirurgen:in,Chirurgen_in,Chirurgen*in,Chirurgen/in,ChirurgenIn
"Rollen, Besetzung, Darstellende",Darsteller,Darstellerinnen,Darsteller:innen,Darsteller_innen,Darsteller*innen,Darsteller/innen,DarstellerInnen
Dienstleistende,Dienstleister,Dienstleisterin,Dienstleister:in,Dienstleister_in,Dienstleister*in,Dienstleister/in,DienstleisterIn
"Dozierende, Lehrpersonal, Lehrende",Dozenten,Dozentin,Dozent:in,Dozent_in,Dozent*in,Dozent/in,DozentIn
Einzelne,Einzelne,Einzelnein,Einzelne:in,Einzelne_in,Einzelne*in,Einzelne/in,EinzelneIn
Erwachsene,Erwachsene,Erwachsene,Erwachsene,Erwachsene,Erwachsene,Erwachsene,Erwachsene
Erzählende,Erzähler,Erzählerinnen,Erzähler:innen,Erzähler_innen,Erzähler*innen,Erzähler/innen,ErzählerInnen
Erziehungsberechtigte,Erziehungsberechtigte,Erziehungsberechtigte,Erziehungsberechtigte,Erziehungsberechtigte,Erziehungsberechtigte,Erziehungsberechtigte,Erziehungsberechtigte
"Fachkräfte, Fachleute, Fachpersonen, Fachkundige, Sachverständige",Experte,Experteinnen,Experte:innen,Experte_innen,Experte*innen,Experte/innen,ExperteInnen
"Mitfahrende, Reisende",Fahrgäste,Fahrgäste,Fahrgäste,Fahrgäste,Fahrgäste,Fahrgäste,Fahrgäste
Filmschaffende,Filmemacher,Filmemacherinnen,Filmemacher:innen,Filmemacher_innen,Filmemacher*innen,Filmemacher/innen,FilmemacherInnen
"Geflüchtete, Flüchtende, geflüchtete Menschen",Flüchtlinge,Flüchtlinge,Flüchtl:inge,Flüchtl_inge,Flüchtl*inge,Flüchtl/inge,FlüchtlInge
unterstützender Personenkreis,Förderer,Fördererinnen,Förderer:innen,Förderer_innen,Förderer*innen,Förderer/innen,FördererInnen
"Fotografierende, Aufnehmende, Fotografon",Fotografen,Fotografinnen,Fotograf:innen,Fotograf_innen,Fotograf*innen,Fotograf/innen,FotografInnen
