neutral,maskulinum,femininum,inkl_Doppelpunkt,inkl_Unterstrich,inkl_Sternchen,inkl_Schrägstrich,inkl_Grossbuchstaben
Viele Arbeitgebende schätzen Pünktlichkeit und Zuverlässigkeit.,Viele Arbeitgeber schätzen Pünktlichkeit und Zuverlässigkeit.,Viele Arbeitgeberinnen schätzen Pünktlichkeit und Zuverlässigkeit.,Viele Arbeitgeber:innen schätzen Pünktlichkeit und Zuverlässigkeit.,Viele Arbeitgeber_innen schätzen Pünktlichkeit und Zuverlässigkeit.,Viele Arbeitgeber*innen schätzen Pünktlichkeit und Zuverlässigkeit.,Viele Arbeitgeber/innen schätzen Pünktlichkeit und Zuverlässigkeit.,Viele ArbeitgeberInnen schätzen Pünktlichkeit und Zuverlässigkeit.
"Das ist ein Aspekt, der für deren spätere Arbeitgebende interessant ist.","Das ist ein Aspekt, der für seine späteren Arbeitgeber interessant ist.","Das ist ein Aspekt, der für ihre spätere Arbeitgeberinnen interessant ist.","Das ist ein Aspekt, der für deren spätere Arbeitgeber:innen interessant ist.","Das ist ein Aspekt, der für deren spätere Arbeitgeber_innen interessant ist.","Das ist ein Aspekt, der für deren spätere Arbeitgeber*innen interessant ist.","Das ist ein Aspekt, der für deren spätere Arbeitgeber/innen interessant ist.","Das ist ein Aspekt, der für deren spätere ArbeitgeberInnen interessant ist."
Die angestellte Person forderte bessere Arbeitsbedingungen.,Der Arbeitnehmer forderte bessere Arbeitsbedingungen.,Die Arbeitnehmerin forderte bessere Arbeitsbedingungen.,Dier Arbeitnehmer:in forderte bessere Arbeitsbedingungen.,Dier Arbeitnehmer_in forderte bessere Arbeitsbedingungen.,Dier Arbeitnehmer*in forderte bessere Arbeitsbedingungen.,Dier Arbeitnehmer/in forderte bessere Arbeitsbedingungen.,Dier ArbeitnehmerIn forderte bessere Arbeitsbedingungen.
Der Personalvorsitz verhandelte mit den Beschäftigten über die neuen Verträge.,Der Personalvorsitz verhandelte mit den Arbeitnehmern über die neuen Verträge.,Der Personalvorsitz verhandelte mit den Arbeitnehmerinnen über die neuen Verträge.,Der Personalvorsitz verhandelte mit den Arbeitnehmer:innen über die neuen Verträge.,Der Personalvorsitz verhandelte mit den Arbeitnehmer_innen über die neuen Verträge.,Der Personalvorsitz verhandelte mit den Arbeitnehmer*innen über die neuen Verträge.,Der Personalvorsitz verhandelte mit den Arbeitnehmer/innen über die neuen Verträge.,Der Personalvorsitz verhandelte mit den ArbeitnehmerInnen über die neuen Verträge.
Mein Teammitglied half mir bei einem schwierigen Projekt.,Mein Arbeitskollege half mir bei einem schwierigen Projekt.,Meine Arbeitskollegin half mir bei einem schwierigen Projekt.,Mein:e Arbeitskolleg:in half mir bei einem schwierigen Projekt.,Mein_e Arbeitskolleg_in half mir bei einem schwierigen Projekt.,Mein*e Arbeitskolleg*in half mir bei einem schwierigen Projekt.,Mein/e Arbeitskolleg/in half mir bei einem schwierigen Projekt.,... Fragen Sie IhreN ÄrztIn oder ApothekerIn.
... Anna und Peter arbeiten in derselben Firma.,... Anna und Peter sind Arbeitskollegen.,... Anna und Peter sind Arbeitskolleginnen.,... Anna und Peter sind Arbeitskolleg:innen.,... Anna und Peter sind Arbeitskolleg_innen.,... Anna und Peter sind Arbeitskolleg*innen.,... Anna und Peter sind Arbeitskolleg/innen.,... Anna und Peter sind ArbeitskollegInnen.
Die Architekturschaffenden arbeiteten gemeinsam an dem großen Bauprojekt.,Die Architekten arbeiteten gemeinsam an dem großen Bauprojekt.,Die Architektinnen arbeiteten gemeinsam an dem großen Bauprojekt.,Die Architekt:innen arbeiteten gemeinsam an dem großen Bauprojekt.,Die Architekt_innen arbeiteten gemeinsam an dem großen Bauprojekt.,Die Architekt*innen arbeiteten gemeinsam an dem großen Bauprojekt.,Die Architekt/innen arbeiteten gemeinsam an dem großen Bauprojekt.,Die ArchitektInnen arbeiteten gemeinsam an dem großen Bauprojekt.
Die Fachkraft für Archivwesen sortierte die alten Dokumente im Stadtarchiv.,Der Archivar sortierte die alten Dokumente im Stadtarchiv.,Die Archivarin sortierte die alten Dokumente im Stadtarchiv.,Dier Archivar:in sortierte die alten Dokumente im Stadtarchiv.,Dier Archivar_in sortierte die alten Dokumente im Stadtarchiv.,Dier Archivar*in sortierte die alten Dokumente im Stadtarchiv.,Dier Archivar/in sortierte die alten Dokumente im Stadtarchiv.,Dier ArchivarIn sortierte die alten Dokumente im Stadtarchiv.
Die Fachkräfte für Archivwesen bewahren historische Manuskripte auf.,Die Archivare bewahren historische Manuskripte auf.,Die Archivarinnen bewahren historische Manuskripte auf.,Die Archivar:innen bewahren historische Manuskripte auf.,Die Archivar_innen bewahren historische Manuskripte auf.,Die Archivar*innen bewahren historische Manuskripte auf.,Die Archivar/innen bewahren historische Manuskripte auf.,Die ArchivarInnen bewahren historische Manuskripte auf.
Die Person im ärztlichen Dienst diagnostizierte die Krankheit schnell und genau.,Der Arzt diagnostizierte die Krankheit schnell und genau.,Die Ärztin diagnostizierte die Krankheit schnell und genau.,Dier Ärzt:in diagnostizierte die Krankheit schnell und genau.,Dier Ärzt_in diagnostizierte die Krankheit schnell und genau.,Dier Ärzt*in diagnostizierte die Krankheit schnell und genau.,Dier Ärzt/in diagnostizierte die Krankheit schnell und genau.,Dier ÄrztIn diagnostizierte die Krankheit schnell und genau.
"... Um an unserer Klinik im ärztlichen Dienst arbeiten zu können, müssen Sie die Approbation im Original vorlegen.","... Um an unserer Klinik als Arzt arbeiten zu können, müssen Sie die Approbation im Original vorlegen.","... Um an unserer Klinik als Ärztin arbeiten zu können, müssen Sie die Approbation im Original vorlegen.","... Um an unserer Klinik als Ärzt:in arbeiten zu können, müssen Sie die Approbation im Orig:inal vorlegen.","... Um an unserer Klinik als Ärzt_in arbeiten zu können, müssen Sie die Approbation im Orig_inal vorlegen.","... Um an unserer Klinik als Ärzt*in arbeiten zu können, müssen Sie die Approbation im Orig*inal vorlegen.","... Um an unserer Klinik als Ärzt/in arbeiten zu können, müssen Sie die Approbation im Orig/inal vorlegen.","... Um an unserer Klinik als ÄrztIn arbeiten zu können, müssen Sie die Approbation im OrigInal vorlegen."
Das ärztliche (Fach-)Personal im Krankenhaus arbeitet rund um die Uhr.,Die Ärzte im Krankenhaus arbeiten rund um die Uhr.,Die Ärztinnen im Krankenhaus arbeiten rund um die Uhr.,Die Ärzt:innen im Krankenhaus arbeiten rund um die Uhr.,Die Ärzt_innen im Krankenhaus arbeiten rund um die Uhr.,Die Ärzt*innen im Krankenhaus arbeiten rund um die Uhr.,Die Ärzt/innen im Krankenhaus arbeiten rund um die Uhr.,Die ÄrztInnen im Krankenhaus arbeiten rund um die Uhr.
... Holen Sie sich ärztlichen oder pharmazeutischen Rat. ,... Fragen Sie Ihren Arzt oder Apotheker.,... Fragen Sie Ihren Ärztin oder Apothekerin.,... Fragen Sie Ihre:n Ärzt:in oder Apotheker:in.,... Fragen Sie Ihre_n Ärzt_in oder Apotheker_in.,... Fragen Sie Ihre*n Ärzt*in oder Apotheker*in.,... Fragen Sie Ihre/n Ärzt/in oder Apotheker/in.,... Fragen Sie IhreN ÄrztIn oder ApothekerIn.
"Der Besuch der ärztlichen Sprechstunde war notwendig, um die Symptome abklären zu lassen.","Der Arztbesuch war notwendig, um die Symptome abklären zu lassen.","Der Ärztinbesuch war notwendig, um die Symptome abklären zu lassen.","Der Ärzt:inbesuch war notwendig, um die Symptome abklären zu lassen.","Der Ärzt_inbesuch war notwendig, um die Symptome abklären zu lassen.","Der Ärzt*inbesuch war notwendig, um die Symptome abklären zu lassen.","Der Ärzt/inbesuch war notwendig, um die Symptome abklären zu lassen.","Der ÄrztInbesuch war notwendig, um die Symptome abklären zu lassen."
Die ärztliche Schweigepflicht schützt die Privatsphäre der behandelten Personen.,Das Arztgeheimnis schützt die Privatsphäre der Patienten.,Das Ärztingeheimnis schützt die Privatsphäre der Patientinnen.,Das Ärzt:ingeheimnis schützt die Privatsphäre der Patient:innen.,Das Ärzt_ingeheimnis schützt die Privatsphäre der Patient_innen.,Das Ärzt*ingeheimnis schützt die Privatsphäre der Patient*innen.,Das Ärzt/ingeheimnis schützt die Privatsphäre der Patient/innen.,Das ÄrztIngeheimnis schützt die Privatsphäre der PatientInnen.
Das medizinsches Fachpersonal unterstützte die Person im ärztlichen Dienst bei den Untersuchungen.,Die Arzthelfer unterstützten den Arzt bei den Untersuchungen.,Die Ärztinhelferinnen unterstützten die Ärztin bei den Untersuchungen.,Die Ärzt:inhelfer:innen unterstützten dier Ärzt:in bei den Untersuchungen.,Die Ärzt_inhelfer_innen unterstützten dier Ärzt_in bei den Untersuchungen.,Die Ärzt*inhelfer*innen unterstützten dier Ärzt*in bei den Untersuchungen.,Die Ärzt/inhelfer/innen unterstützten dier Ärzt/in bei den Untersuchungen.,Die ÄrztInhelferInnen unterstützten dier ÄrztIn bei den Untersuchungen.
Die ärztliche Praxis war modern eingerichtet und gut ausgestattet.,Die Arztpraxis war modern eingerichtet und gut ausgestattet.,Die Ärztinpraxis war modern eingerichtet und gut ausgestattet.,Die Ärzt:inpraxis war modern eingerichtet und gut ausgestattet.,Die Ärzt_inpraxis war modern eingerichtet und gut ausgestattet.,Die Ärzt*inpraxis war modern eingerichtet und gut ausgestattet.,Die Ärzt/inpraxis war modern eingerichtet und gut ausgestattet.,Die ÄrztInpraxis war modern eingerichtet und gut ausgestattet.
Der Behandlungstermin  von Michelle X. wurde auf morgen 15Uhr verschoben. Kannst du denen bitte bescheid geben.,Der Arzttermin  von Michelle X. wurde auf morgen 15Uhr verschoben. Kannst du denen bitte bescheid geben.,Der Ärztintermin von Michelle X. wurde auf morgen 15Uhr verschoben. Kannst du denen bitte bescheid geben.,Der Ärzt:intermin von Michelle X. wurde auf morgen 15Uhr verschoben. Kannst du denen bitte bescheid geben.,Der Ärzt_intermin von Michelle X. wurde auf morgen 15Uhr verschoben. Kannst du denen bitte bescheid geben.,Der Ärzt*intermin von Michelle X. wurde auf morgen 15Uhr verschoben. Kannst du denen bitte bescheid geben.,Der Ärzt/intermin von Michelle X. wurde auf morgen 15Uhr verschoben. Kannst du denen bitte bescheid geben.,Der ÄrztIntermin von Michelle X. wurde auf morgen 15Uhr verschoben. Kannst du denen bitte bescheid geben.
Mir fällt die Wahl des ärztlichen Fachpersonals immer sehr schwer.,Mir fällt die Arztwahl immer sehr schwer.,Mir fällt die Ärztinwahl immer sehr schwer.,Mir fällt die Ärzt:inwahl immer sehr schwer.,Mir fällt die Ärzt_inwahl immer sehr schwer.,Mir fällt die Ärzt*inwahl immer sehr schwer.,Mir fällt die Ärzt/inwahl immer sehr schwer.,Mir fällt die ÄrztInwahl immer sehr schwer.
Die bewerbende Person bewarb sich um die offene Stelle in der Firma.,Der Aspirant bewarb sich um die offene Stelle in der Firma.,Die Aspirantin bewarb sich um die offene Stelle in der Firma.,Dier Aspirant:in bewarb sich um die offene Stelle in der Firma.,Dier Aspirant_in bewarb sich um die offene Stelle in der Firma.,Dier Aspirant*in bewarb sich um die offene Stelle in der Firma.,Dier Aspirant/in bewarb sich um die offene Stelle in der Firma.,Dier AspirantIn bewarb sich um die offene Stelle in der Firma.
Die Assistenz half der Führungskraft bei der Vorbereitung der Präsentation und koordinierte die Termine.,Der Assistent half dem Manager bei der Vorbereitung der Präsentation und koordinierte die Termine.,Die Assistentin half der Managerin bei der Vorbereitung der Präsentation und koordinierte die Termine.,Dier Assistent:in half diem Manager:in bei der Vorbereitung der Präsentation und koordinierte die Termine.,Dier Assistent_in half diem Manager_in bei der Vorbereitung der Präsentation und koordinierte die Termine.,Die*der Assistent*in half der*dem Manager*in bei der Vorbereitung der Präsentation und koordinierte die Termine.,Dier Assistent/in half diem Manager/in bei der Vorbereitung der Präsentation und koordinierte die Termine.,Dier AssistentIn half diem ManagerIn bei der Vorbereitung der Präsentation und koordinierte die Termine.
"Die Person in fachärztlicher Weiterbildung führte die Operation eigenständig durch, da sie bereits viel Erfahrung sammeln konnte.","Der Assistenzarzt führte die Operation eigenständig durch, da er bereits viel Erfahrung sammeln konnte.","Die Assistenzärztin führte die Operation eigenständig durch, da sie bereits viel Erfahrung sammeln konnte.","Dier Assistenzärzt:in führte die Operation eigenständig durch, da dey bereits viel Erfahrung sammeln konnte.","Dier Assistenzärzt_in führte die Operation eigenständig durch, da dey bereits viel Erfahrung sammeln konnte.","Dier Assistenzärzt*in führte die Operation eigenständig durch, da dey bereits viel Erfahrung sammeln konnte.","Dier Assistenzärzt/in führte die Operation eigenständig durch, da dey bereits viel Erfahrung sammeln konnte.","Dier AssistenzärztIn führte die Operation eigenständig durch, da dey bereits viel Erfahrung sammeln konnte."
Die astronautisch tätige Person bereitete sich auf die nächste Weltraummission vor.,Der Astronaut bereitete sich auf die nächste Weltraummission vor.,Die Astronautin bereitete sich auf die nächste Weltraummission vor.,Dier Astronaut:in bereitete sich auf die nächste Weltraummission vor.,Dier Astronaut_in bereitete sich auf die nächste Weltraummission vor.,Dier Astronaut*in bereitete sich auf die nächste Weltraummission vor.,Dier Astronaut/in bereitete sich auf die nächste Weltraummission vor.,Dier AstronautIn bereitete sich auf die nächste Weltraummission vor.
"Meine Eltern waren Asylsuchende, sie haben mir viel beigebracht von ihrer Kultur. Obwohl ich hier geboren wurde bin ich immer noch nicht von diesen Land anerkannt. Meinex Mapa hat mich immer morgens zur Schule begleitet weil dey sich nicht war ob ich wirklich sicher ankommen werde. ","Meine Eltern waren Asylbewerber, sie haben mir viel beigebracht von ihrer Kultur. Obwohl ich hier geboren wurde bin ich immer noch nicht von diesen Land anerkannt. Mein Papa hat mich immer morgens zur Schule begleitet weil er sich nicht war ob ich wirklich sicher ankommen werde. ","Meine Eltern waren Asylbewerberinnen, sie haben mir viel beigebracht von ihrer Kultur. Obwohl ich hier geboren wurde bin ich immer noch nicht von diesen Land anerkannt. Meine Mama hat mich immer morgens zur Schule begleitet weil sie sich nicht war ob ich wirklich sicher ankommen werde. ","Meine Eltern waren Asylbewerber:innen, sie haben mir viel beigebracht von ihrer Kultur. Obwohl ich hier geboren wurde bin ich immer noch nicht von diesen Land anerkannt. Meine Mama hat mich immer morgens zur Schule begleitet weil sie sich nicht war ob ich wirklich sicher ankommen werde. ","Meine Eltern waren Asylbewerber_innen, sie haben mir viel beigebracht von ihrer Kultur. Obwohl ich hier geboren wurde bin ich immer noch nicht von diesen Land anerkannt. Meine Mama hat mich immer morgens zur Schule begleitet weil sie sich nicht war ob ich wirklich sicher ankommen werde. ","Meine Eltern waren Asylbewerber*innen, sie haben mir viel beigebracht von ihrer Kultur. Obwohl ich hier geboren wurde bin ich immer noch nicht von diesen Land anerkannt. Meine Mama hat mich immer morgens zur Schule begleitet weil sie sich nicht war ob ich wirklich sicher ankommen werde. ","Meine Eltern waren Asylbewerber/innen, sie haben mir viel beigebracht von ihrer Kultur. Obwohl ich hier geboren wurde bin ich immer noch nicht von diesen Land anerkannt. Meine Mama hat mich immer morgens zur Schule begleitet weil sie sich nicht war ob ich wirklich sicher ankommen werde. ","Meine Eltern waren AsylbewerberInnen, sie haben mir viel beigebracht von ihrer Kultur. Obwohl ich hier geboren wurde bin ich immer noch nicht von diesen Land anerkannt. Meine Mama hat mich immer morgens zur Schule begleitet weil sie sich nicht war ob ich wirklich sicher ankommen werde. "
Die atheistisch eingestellte Person diskutierte offen über deren Überzeugungen.,Der Atheist diskutierte offen über seine Überzeugungen.,Die Atheistin diskutierte offen über ihre Überzeugungen.,Dier Atheist:in diskutierte offen über deren Überzeugungen.,Dier Atheist_in diskutierte offen über deren Überzeugungen.,Dier Atheist*in diskutierte offen über deren Überzeugungen.,Dier Atheist/in diskutierte offen über deren Überzeugungen.,Dier AtheistIn diskutierte offen über deren Überzeugungen.
Der athletische Person trainierte hart für die Olympischen Spiele.,Der Athlet trainierte hart für die Olympischen Spiele.,Die Athletin trainierte hart für die Olympischen Spiele.,Dier Athlet:in trainierte hart für die Olympischen Spiele.,Dier Athlet_in trainierte hart für die Olympischen Spiele.,Dier Athlet*in trainierte hart für die Olympischen Spiele.,Dier Athlet/in trainierte hart für die Olympischen Spiele.,Dier AthletIn trainierte hart für die Olympischen Spiele.
Die auditdurchführende Person prüfte die Jahresabschlüsse des Unternehmens.,Der Auditor prüfte die Jahresabschlüsse des Unternehmens.,Die Auditorin prüfte die Jahresabschlüsse des Unternehmens.,Dier Auditor:in prüfte die Jahresabschlüsse des Unternehmens.,Dier Auditor_in prüfte die Jahresabschlüsse des Unternehmens.,Dier Auditor*in prüfte die Jahresabschlüsse des Unternehmens.,Dier Auditor/in prüfte die Jahresabschlüsse des Unternehmens.,Dier AuditorIn prüfte die Jahresabschlüsse des Unternehmens.
